id,lat,long,id_2,lat_2,long_2,id_total,type
"81","47.3143365100","-120.6896500000","9","46.1799145000","-112.9652400000","819","2"
"82","46.0301211400","-118.5919460000","82","46.0301211400","-118.5919460000","8282","3"
"82","46.0301211400","-118.5919460000","77","42.0997822800","-120.5822510000","8277","2"
"82","46.0301211400","-118.5919460000","76","42.8287230400","-121.0918240000","8276","2"
"82","46.0301211400","-118.5919460000","16","46.2628318100","-120.3687730000","8216","2"
"82","46.0301211400","-118.5919460000","15","45.8918119500","-120.4587170000","8215","2"
"82","46.0301211400","-118.5919460000","13","47.0554651700","-119.0617710000","8213","2"
"82","46.0301211400","-118.5919460000","12","46.7519034600","-118.3084880000","8212","2"
"82","46.0301211400","-118.5919460000","6","45.6964643600","-116.5334950000","826","2"
"82","46.0301211400","-118.5919460000","4","45.2157732700","-119.2046090000","824","3"
"82","46.0301211400","-118.5919460000","3","45.6572601200","-118.7926950000","823","3"
"82","46.0301211400","-118.5919460000","1","44.3334596900","-121.1333410000","821","2"
"82","46.0301211400","-118.5919460000","0","44.9447288600","-122.0107700000","820","2"
"83","47.3828889300","-116.5125230000","100","49.7935887700","-124.9183430000","83100","2"
"83","47.3828889300","-116.5125230000","98","50.1222464700","-125.0564740000","8398","2"
"83","47.3828889300","-116.5125230000","97","50.4604304800","-124.1467120000","8397","2"
"83","47.3828889300","-116.5125230000","96","50.9129302100","-122.3986340000","8396","2"
"83","47.3828889300","-116.5125230000","95","50.7462197800","-121.4269500000","8395","2"
"83","47.3828889300","-116.5125230000","94","48.6571158800","-123.5175320000","8394","2"
"83","47.3828889300","-116.5125230000","93","49.4382733100","-124.2224790000","8393","2"
"83","47.3828889300","-116.5125230000","92","49.8764835700","-123.4365590000","8392","2"
"83","47.3828889300","-116.5125230000","89","49.6359785200","-117.9795440000","8389","3"
"83","47.3828889300","-116.5125230000","88","48.9870156000","-119.3551630000","8388","3"
"83","47.3828889300","-116.5125230000","86","48.7950688200","-124.0395790000","8386","2"
"83","47.3828889300","-116.5125230000","85","48.4248857400","-117.7738870000","8385","3"
