target,source,flow,target_lat,target_lon,source_lat,source_lon
16001,45081,-26.0,43.4508,-116.2413,34.0063,-81.7273
16001,45083,-88.0,43.4508,-116.2413,34.9314,-81.9910
16001,46005,368.0,43.4508,-116.2413,44.4146,-98.2780
16001,46099,-19.0,43.4508,-116.2413,43.6741,-96.7915
16001,46103,28.0,43.4508,-116.2413,44.0039,-102.8241
16001,47157,104.0,43.4508,-116.2413,35.1841,-89.8957
16001,47179,17.0,43.4508,-116.2413,36.2934,-82.4971
16001,48029,10.0,43.4508,-116.2413,29.4491,-98.5202
16001,48039,-3.0,43.4508,-116.2413,29.1895,-95.4516
16001,48041,-19.0,43.4508,-116.2413,30.6607,-96.3021
16001,48071,19.0,43.4508,-116.2413,29.7383,-94.6085
16001,48085,-18.0,43.4508,-116.2413,33.1882,-96.5727
16001,48113,147.0,43.4508,-116.2413,32.7667,-96.7779
16001,48121,35.0,43.4508,-116.2413,33.2053,-97.1169
16001,48157,-17.0,43.4508,-116.2413,29.5275,-95.7709
16001,48167,-5.0,43.4508,-116.2413,29.3896,-94.9597
16001,48201,44.0,43.4508,-116.2413,29.8575,-95.3930
16001,48257,-2.0,43.4508,-116.2413,32.5991,-96.2878
16001,48279,-7.0,43.4508,-116.2413,34.0686,-102.3516
16001,48339,-8.0,43.4508,-116.2413,30.3002,-95.5033
16001,48439,66.0,43.4508,-116.2413,32.7715,-97.2910
16001,48441,-10.0,43.4508,-116.2413,32.3018,-99.8900
16001,48453,5.0,43.4508,-116.2413,30.3347,-97.7817
16001,48459,18.0,43.4508,-116.2413,32.7367,-94.9411
16001,48479,41.0,43.4508,-116.2413,27.7610,-99.3317
16001,48491,-68.0,43.4508,-116.2413,30.6481,-97.6012
16001,48493,20.0,43.4508,-116.2413,29.1742,-98.0869
16001,49005,265.0,43.4508,-116.2413,41.7226,-111.7435
16001,49011,65.0,43.4508,-116.2413,40.9899,-112.1117
16001,49013,40.0,43.4508,-116.2413,40.2981,-110.4259
16001,49021,37.0,43.4508,-116.2413,37.8591,-113.2894
16001,49035,-365.0,43.4508,-116.2413,40.6669,-111.9238
16001,49043,-13.0,43.4508,-116.2413,40.8683,-110.9555
16001,49045,-17.0,43.4508,-116.2413,40.4487,-113.1312
16001,49047,44.0,43.4508,-116.2413,40.1246,-109.5186
16001,49049,258.0,43.4508,-116.2413,40.1199,-111.6704
16001,49053,179.0,43.4508,-116.2413,37.2804,-113.5048
16001,49057,131.0,43.4508,-116.2413,41.2698,-111.9133
16001,50001,-1.0,43.4508,-116.2413,44.0308,-73.1404
16001,50003,-31.0,43.4508,-116.2413,43.0353,-73.0929
16001,50007,69.0,43.4508,-116.2413,44.4611,-73.0810
16001,50021,-17.0,43.4508,-116.2413,43.5799,-73.0367
16001,50023,-4.0,43.4508,-116.2413,44.2731,-72.6150
16001,51003,13.0,43.4508,-116.2413,38.0230,-78.5556
16001,51059,71.0,43.4508,-116.2413,38.8364,-77.2766
16001,51087,-26.0,43.4508,-116.2413,37.5380,-77.4051
16001,51107,-15.0,43.4508,-116.2413,39.0905,-77.6357
16001,51131,-3.0,43.4508,-116.2413,37.3431,-75.8776
16001,51149,1.0,43.4508,-116.2413,37.1864,-77.2243
16001,51153,-15.0,43.4508,-116.2413,38.7046,-77.4802
16001,51179,11.0,43.4508,-116.2413,38.4208,-77.4579
16001,51540,12.0,43.4508,-116.2413,38.0373,-78.4842
16001,51550,-6.0,43.4508,-116.2413,36.6777,-76.3026
16001,51680,-21.0,43.4508,-116.2413,37.4002,-79.1905
16001,51683,-31.0,43.4508,-116.2413,38.7478,-77.4852
16001,51700,-59.0,43.4508,-116.2413,37.1047,-76.5197
16001,51760,-7.0,43.4508,-116.2413,37.5288,-77.4758
16001,51810,-42.0,43.4508,-116.2413,36.7331,-76.0432
16001,53003,-46.0,43.4508,-116.2413,46.1918,-117.2027
16001,53005,44.0,43.4508,-116.2413,46.2396,-119.5112
16001,53007,-10.0,43.4508,-116.2413,47.8692,-120.6189
16001,53009,29.0,43.4508,-116.2413,48.0491,-123.9274
16001,53011,-72.0,43.4508,-116.2413,45.7793,-122.4826
16001,53015,-17.0,43.4508,-116.2413,46.1935,-122.6809
16001,53017,-43.0,43.4508,-116.2413,47.7363,-119.6915
16001,53019,-6.0,43.4508,-116.2413,48.4704,-118.5165
16001,53021,-41.0,43.4508,-116.2413,46.5350,-118.8986
16001,53025,20.0,43.4508,-116.2413,47.2056,-119.4516
16001,53029,-44.0,43.4508,-116.2413,48.1638,-122.5494
16001,53033,-204.0,43.4508,-116.2413,47.4900,-121.8065
16001,53035,-40.0,43.4508,-116.2413,47.6134,-122.6734
16001,53041,10.0,43.4508,-116.2413,46.5775,-122.3919
16001,53047,-2.0,43.4508,-116.2413,48.5488,-119.7408
16001,53051,-15.0,43.4508,-116.2413,48.5324,-117.2739
16001,53053,-147.0,43.4508,-116.2413,47.0267,-122.1116
16001,53055,-7.0,43.4508,-116.2413,48.5786,-122.9535
16001,53057,-19.0,43.4508,-116.2413,48.4795,-121.7327
16001,53061,-159.0,43.4508,-116.2413,48.0476,-121.6979
16001,53063,90.0,43.4508,-116.2413,47.6207,-117.4040
16001,53065,23.0,43.4508,-116.2413,48.3989,-117.8551
16001,53067,-48.0,43.4508,-116.2413,46.9268,-122.8328
16001,53069,2.0,43.4508,-116.2413,46.2923,-123.4246
16001,53071,-127.0,43.4508,-116.2413,46.2297,-118.4786
