source,target,flow,source_lat,source_lon,target_lat,target_lon,source_num
45013,41005,-5,32.3854,-80.7301,45.1879,-122.2203,41005
45079,41005,-30,34.0223,-80.9038,45.1879,-122.2203,41005
46083,41005,-24,43.2788,-96.7217,45.1879,-122.2203,41005
47037,41005,-5,36.1695,-86.7851,45.1879,-122.2203,41005
47093,41005,-14,35.9932,-83.9375,45.1879,-122.2203,41005
47157,41005,-21,35.1841,-89.8957,45.1879,-122.2203,41005
48099,41005,-64,31.3909,-97.7993,45.1879,-122.2203,41005
48141,41005,-52,31.7688,-106.2352,45.1879,-122.2203,41005
48181,41005,-29,33.627,-96.6777,45.1879,-122.2203,41005
48355,41005,-9,27.7254,-97.6109,45.1879,-122.2203,41005
48441,41005,-11,32.3018,-99.89,45.1879,-122.2203,41005
48469,41005,-24,28.7961,-96.9714,45.1879,-122.2203,41005
49035,41005,-36,40.6669,-111.9238,45.1879,-122.2203,41005
49047,41005,-2,40.1246,-109.5186,45.1879,-122.2203,41005
49049,41005,-120,40.1199,-111.6704,45.1879,-122.2203,41005
50001,41005,-3,44.0308,-73.1404,45.1879,-122.2203,41005
50003,41005,-7,43.0353,-73.0929,45.1879,-122.2203,41005
51013,41005,-64,38.8784,-77.101,45.1879,-122.2203,41005
51069,41005,-3,39.2039,-78.2604,45.1879,-122.2203,41005
51095,41005,-132,37.3276,-76.7771,45.1879,-122.2203,41005
51179,41005,-39,38.4208,-77.4579,45.1879,-122.2203,41005
51810,41005,-35,36.7331,-76.0432,45.1879,-122.2203,41005
53005,41005,-49,46.2396,-119.5112,45.1879,-122.2203,41005
53007,41005,-6,47.8692,-120.6189,45.1879,-122.2203,41005
53009,41005,-5,48.0491,-123.9274,45.1879,-122.2203,41005
53011,41005,-815,45.7793,-122.4826,45.1879,-122.2203,41005
53013,41005,-5,46.2971,-117.9067,45.1879,-122.2203,41005
53015,41005,-20,46.1935,-122.6809,45.1879,-122.2203,41005
53021,41005,-25,46.535,-118.8986,45.1879,-122.2203,41005
53025,41005,-7,47.2056,-119.4516,45.1879,-122.2203,41005
53027,41005,-14,47.1498,-123.7732,45.1879,-122.2203,41005
53029,41005,-9,48.1638,-122.5494,45.1879,-122.2203,41005
53033,41005,-416,47.49,-121.8065,45.1879,-122.2203,41005
53035,41005,-121,47.6134,-122.6734,45.1879,-122.2203,41005
53037,41005,-33,47.1245,-120.6796,45.1879,-122.2203,41005
53039,41005,-5,45.8735,-120.7888,45.1879,-122.2203,41005
53045,41005,-16,47.348,-123.1921,45.1879,-122.2203,41005
53049,41005,-5,46.5553,-123.7047,45.1879,-122.2203,41005
53053,41005,-67,47.0267,-122.1116,45.1879,-122.2203,41005
53055,41005,-10,48.5786,-122.9535,45.1879,-122.2203,41005
53061,41005,-184,48.0476,-121.6979,45.1879,-122.2203,41005
53063,41005,-180,47.6207,-117.404,45.1879,-122.2203,41005
53067,41005,-24,46.9268,-122.8328,45.1879,-122.2203,41005
53071,41005,-27,46.2297,-118.4786,45.1879,-122.2203,41005
53075,41005,-27,46.9013,-117.523,45.1879,-122.2203,41005
53077,41005,-44,46.4568,-120.7387,45.1879,-122.2203,41005
55057,41005,-1,43.9243,-90.1137,45.1879,-122.2203,41005
55073,41005,-33,44.8978,-89.7585,45.1879,-122.2203,41005
55079,41005,-11,43.007,-87.967,45.1879,-122.2203,41005
55101,41005,-27,42.7473,-88.0611,45.1879,-122.2203,41005
55141,41005,-5,44.4554,-90.0416,45.1879,-122.2203,41005
56037,41005,-19,41.6597,-108.8794,45.1879,-122.2203,41005
2130,41007,-4,55.5867,-130.937,45.9948,-123.6562,41007
2220,41007,-39,57.2339,-135.3152,45.9948,-123.6562,41007
4013,41007,-366,33.3487,-112.4911,45.9948,-123.6562,41007
6015,41007,-59,41.7432,-123.8972,45.9948,-123.6562,41007
6021,41007,-9,39.5981,-122.3922,45.9948,-123.6562,41007
6023,41007,-17,40.6993,-123.8756,45.9948,-123.6562,41007
6037,41007,-18,34.3213,-118.2247,45.9948,-123.6562,41007
6053,41007,-94,36.2171,-121.2387,45.9948,-123.6562,41007
6065,41007,-52,33.7433,-115.994,45.9948,-123.6562,41007
6073,41007,-47,33.0339,-116.7354,45.9948,-123.6562,41007
6089,41007,-3,40.7639,-122.041,45.9948,-123.6562,41007
6095,41007,-28,38.2703,-121.9331,45.9948,-123.6562,41007
6111,41007,-88,34.4547,-119.0848,45.9948,-123.6562,41007
15003,41007,-21,21.4588,-157.9747,45.9948,-123.6562,41007
16009,41007,-4,47.2169,-116.6588,45.9948,-123.6562,41007
16031,41007,-9,42.2838,-113.6012,45.9948,-123.6562,41007
16055,41007,-4,47.6743,-116.7018,45.9948,-123.6562,41007
16065,41007,-8,43.7843,-111.6604,45.9948,-123.6562,41007
23001,41007,-17,44.1658,-70.2059,45.9948,-123.6562,41007
25001,41007,-136,41.7233,-70.2899,45.9948,-123.6562,41007
27163,41007,-12,45.0392,-92.8837,45.9948,-123.6562,41007
30013,41007,-130,47.3081,-111.3475,45.9948,-123.6562,41007
30029,41007,-15,48.2951,-114.0493,45.9948,-123.6562,41007
30057,41007,-3,45.3005,-111.9198,45.9948,-123.6562,41007
32019,41007,-43,39.0206,-119.1893,45.9948,-123.6562,41007
32023,41007,-41,38.0421,-116.4718,45.9948,-123.6562,41007
32027,41007,-4,40.4406,-118.404,45.9948,-123.6562,41007
34009,41007,-64,39.149,-74.8005,45.9948,-123.6562,41007
